
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3766      ,"X": 95.76%,"Y":117.29%,"Timestamp": 5402.42
"Frame": 3767      ,"X": 94.95%,"Y":115.68%,"Timestamp": 5422.67
"Frame": 3768      ,"X": 94.36%,"Y":114.56%,"Timestamp": 5442.87
"Frame": 3769      ,"X": 93.98%,"Y":113.64%,"Timestamp": 5463.08
"Frame": 3770      ,"X": 93.55%,"Y":112.93%,"Timestamp": 5483.37
"Frame": 3771      ,"X": 92.28%,"Y":112.04%,"Timestamp": 5503.66
"Frame": 3772      ,"X": 91.09%,"Y":111.36%,"Timestamp": 5523.92
"Frame": 3773      ,"X": 89.76%,"Y":110.66%,"Timestamp": 5544.17
"Frame": 3774      ,"X": 86.61%,"Y":109.84%,"Timestamp": 5564.37
"Frame": 3775      ,"X": 83.55%,"Y":109.19%,"Timestamp": 5584.67
"Frame": 3776      ,"X": 81.43%,"Y":108.62%,"Timestamp": 5604.92
"Frame": 3777      ,"X": 79.59%,"Y":107.74%,"Timestamp": 5625.17
"Frame": 3778      ,"X": 78.25%,"Y":106.89%,"Timestamp": 5645.43
"Frame": 3779      ,"X": 77.31%,"Y":106.43%,"Timestamp": 5665.68
"Frame": 3780      ,"X": 76.40%,"Y":106.10%,"Timestamp": 5685.84
"Frame": 3781      ,"X": 75.61%,"Y":105.72%,"Timestamp": 5706.13
"Frame": 3782      ,"X": 75.00%,"Y":105.25%,"Timestamp": 5726.41
"Frame": 3783      ,"X": 74.48%,"Y":104.79%,"Timestamp": 5746.67
"Frame": 3784      ,"X": 74.50%,"Y":104.42%,"Timestamp": 5766.92
"Frame": 3785      ,"X": 75.33%,"Y":103.29%,"Timestamp": 5787.17
